n_items,n_participants,simulation,model,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,Skewed theta,Normal theta,149.02123267650603,0.941,0.91,0.9319056973937242,0.9861308466404274
50,100,Skewed theta,Normal theta,323.21534552574155,0.958,0.908,0.9736706918793362,0.9862125917060404
600,100,Skewed theta,Normal theta,715.6672258853912,0.959,0.94904,0.9853075744620852,0.9257251539705064
300,100,Skewed theta,Normal theta,672.3674770593643,0.972,0.94299,0.9859698673116948,0.95479742403269
