n_items,n_participants,category_system,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,5-category-a-freq,0.02245173454284668,0.725,0.42,0.9027477087471755,0.9546146269126591
50,100,5-category-a-freq,0.04641532897949219,0.668,0.43,0.9498105696115533,0.9537112826182162
300,100,5-category-a-freq,0.09580307006835938,0.487,0.65689,0.9454823640414471,0.9274959556489786
600,100,5-category-a-freq,0.08717978000640869,0.452,0.73364,0.9543833171060891,0.8985118906393486
