n_items,n_participants,category_system,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,3-category-freq,0.030483388900756837,0.269,0.14,0.9146401808440121,0.9581211952442471
50,100,3-category-freq,0.043670034408569335,0.21300000000000002,0.138,0.9425841934292234,0.9468015886593933
300,100,3-category-freq,0.09461820125579834,0.131,0.20483,0.946600415798143,0.9198624653243583
600,100,3-category-freq,0.08796167373657227,0.128,0.27281,0.9483421281128683,0.8974985285125795
