n_items,n_participants,simulation,model,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,Skewed beta,Normal beta,159.82530109882356,0.956,0.98,0.9357925175602648,0.9864417821090098
50,100,Skewed beta,Normal beta,319.2564297914505,0.967,0.938,0.9743436285551346,0.987310983226926
600,100,Skewed beta,Normal beta,736.5722589015961,0.928,0.94969,0.9853125821385998,0.9308152518430488
300,100,Skewed beta,Normal beta,669.1431148290634,0.956,0.94912,0.9835444490795162,0.9613515369236868
