n_items,rep,time,theta_coverage,beta_coverage,theta_correlation,beta_correlation,n_participants,category_system
20,1,145.75680780410767,0.97,1,0.9221846247249718,0.9936003874340904,100,5-category A
20,2,156.68931579589844,0.94,1,0.92263757792814,0.98527172878347,100,5-category A
20,3,161.7122299671173,0.98,1,0.9558287611849487,0.989943385905425,100,5-category A
20,4,141.9782328605652,0.96,1,0.9431626661969916,0.9882624528256236,100,5-category A
20,5,143.0620038509369,0.96,1,0.9460306559979292,0.9935946580185664,100,5-category A
20,6,160.45825600624084,0.98,1,0.9574333271216092,0.985431213278094,100,5-category A
20,7,160.47653913497925,0.93,1,0.9529820144799858,0.98941498246086,100,5-category A
20,8,149.29867005348206,0.96,1,0.9358353555519542,0.9907895562627032,100,5-category A
20,9,232.22336196899417,0.94,1,0.9394840919521928,0.9916498313231846,100,5-category A
20,10,155.54264211654663,0.97,1,0.9375304901660848,0.985421314494623,100,5-category A
50,1,317.9180099964142,0.94,0.94,0.9637252249136806,0.9805085920681618,100,5-category A
50,2,340.1959240436554,0.97,0.98,0.971699805913768,0.9915382539563996,100,5-category A
50,3,314.5865659713745,0.99,0.92,0.9805295866265408,0.986765118219023,100,5-category A
50,4,316.51780891418457,0.95,0.96,0.9749235811318137,0.9831650841346762,100,5-category A
50,5,332.3372628688812,0.99,1,0.976121486147574,0.9855222165972496,100,5-category A
50,6,332.77760195732117,0.96,1,0.9766641628506308,0.9917890668049116,100,5-category A
50,7,331.0545451641083,0.95,0.76,0.9734813955006218,0.9897628625595684,100,5-category A
50,8,327.6883327960968,0.95,0.98,0.9697298039824244,0.9811111056506676,100,5-category A
50,9,344.24048113822937,0.96,0.96,0.9783747444653648,0.9817740832636204,100,5-category A
50,10,322.934937953949,0.92,0.86,0.9720536658776168,0.9811608661477416,100,5-category A
600,1,733.5989980697632,0.89,0.9447,0.9827646928203844,0.9314104451287826,100,5-category A
600,2,729.3434319496155,0.96,0.9451,0.985921997173841,0.9376876106705748,100,5-category A
600,3,722.4177510738373,0.95,0.9552,0.9884063656071436,0.932284302783018,100,5-category A
600,4,685.592404127121,0.94,0.941,0.9800680784970986,0.9097402985526348,100,5-category A
600,5,738.0130159854889,0.89,0.9487,0.9890178696971784,0.9385602322310688,100,5-category A
600,6,738.2004599571228,0.9,0.9586,0.986872987177192,0.93539662670762,100,5-category A
600,7,726.2929239273071,0.99,0.9517,0.9854989455651948,0.9393577245174138,100,5-category A
600,8,723.8128178119659,0.95,0.9462,0.9851859339946406,0.9289010064246712,100,5-category A
600,9,739.1176118850708,0.99,0.9606,0.98729766018445,0.9305461053940534,100,5-category A
600,10,739.1577770709991,0.94,0.9451,0.986130941223768,0.9196030032776714,100,5-category A
300,1,711.5789520740509,0.94,0.946,0.9837381993875608,0.9622342351030584,100,5-category A
300,2,679.6708381175995,0.99,0.9316,0.9869485762135324,0.967783063835098,100,5-category A
300,3,687.8134770393372,0.98,0.9583,0.9879590066263986,0.9693787020984774,100,5-category A
300,4,684.8530340194702,0.85,0.9742,0.9868314593702888,0.969456422120744,100,5-category A
300,5,701.0456941127777,0.95,0.9609,0.9840984280693316,0.9563696219513328,100,5-category A
300,6,673.5955209732056,0.92,0.9519,0.9749435933708168,0.9618513383294348,100,5-category A
300,7,678.4418251514435,0.95,0.9581,0.9831129314390926,0.960084896523645,100,5-category A
300,8,684.7855939865112,0.95,0.9634,0.9820735389902584,0.9601814569236274,100,5-category A
300,9,686.1518239974976,0.98,0.9429,0.9880178813657284,0.9551538183908348,100,5-category A
300,10,684.8279919624329,0.98,0.9227,0.9826336219529866,0.946238372694052,100,5-category A
