n_items,n_participants,simulation,model,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,Both skewed,Both normal,150.84923849105834,0.948,0.94,0.9270519878790509,0.9821628871180614
50,100,Both skewed,Both normal,318.58598279953003,0.949,0.968,0.9740968601092936,0.9855345462560172
600,100,Both skewed,Both normal,708.3653146743775,0.966,0.95321,0.9855291930266438,0.9273006783287904
300,100,Both skewed,Both normal,666.5926926374435,0.962,0.95166,0.9845344995329954,0.958565104303654
