n_items,n_participants,simulation,model,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,Partial skew,Mixed normal/skew,158.6975284099579,0.952,0.975,0.9412155733149574,0.986912622573392
50,100,Partial skew,Mixed normal/skew,325.74953110218047,0.963,0.966,0.9735989002689506,0.9869875966687524
600,100,Partial skew,Mixed normal/skew,726.527909231186,0.934,0.94951,0.9857511986562476,0.9302378428779764
300,100,Mixture,Mixed normal/skew,674.9915570020676,0.94,0.94357,0.9839080228605828,0.956696851326379
