exID,pairID,responseID,ground_truth,response3,reported_difficulty
136,589,194,Non-mates,1,1
37,589,195,Non-mates,1,2
13,589,196,Non-mates,1,NA
158,589,197,Non-mates,1,NA
114,589,198,Non-mates,1,NA
15,589,199,Non-mates,1,1
159,589,200,Non-mates,1,1
160,589,201,Non-mates,1,NA
73,589,202,Non-mates,1,2
74,589,203,Non-mates,1,NA
163,589,204,Non-mates,1,2
94,589,205,Non-mates,1,2
19,589,206,Non-mates,1,NA
52,589,207,Non-mates,1,2
147,589,208,Non-mates,1,NA
97,589,209,Non-mates,1,NA
125,589,210,Non-mates,1,2
167,589,211,Non-mates,1,2
78,589,212,Non-mates,1,2
31,725,213,Non-mates,2,NA
106,725,214,Non-mates,1,NA
8,725,215,Non-mates,1,2
39,725,216,Non-mates,1,NA
21,725,217,Non-mates,1,NA
124,725,218,Non-mates,1,4
150,725,219,Non-mates,2,4
79,725,220,Non-mates,1,2
2,725,221,Non-mates,1,2
81,725,222,Non-mates,1,2
32,725,223,Non-mates,1,NA
108,725,224,Non-mates,1,4
109,725,225,Non-mates,1,NA
11,725,226,Non-mates,1,5
13,725,227,Non-mates,2,4
158,725,228,Non-mates,1,NA
15,725,229,Non-mates,NA,NA
160,725,230,Non-mates,1,4
74,725,231,Non-mates,1,NA
94,725,232,Non-mates,1,NA
19,725,233,Non-mates,1,4
97,725,234,Non-mates,2,4
125,725,235,Non-mates,1,NA
85,513,236,Mates,2,NA
64,513,237,Mates,2,NA
7,513,238,Mates,NA,NA
140,513,239,Mates,2,NA
72,513,240,Mates,NA,NA
146,513,241,Mates,NA,NA
126,513,242,Mates,1,NA
101,513,243,Mates,2,NA
26,513,244,Mates,2,4
83,513,245,Mates,2,4
156,513,246,Mates,2,2
109,513,247,Mates,NA,NA
12,513,248,Mates,2,NA
162,513,249,Mates,2,4
48,513,250,Mates,2,NA
94,513,251,Mates,2,NA
122,513,252,Mates,NA,NA
167,513,253,Mates,2,NA
148,513,254,Mates,1,NA
23,513,255,Mates,2,NA
87,381,256,Mates,2,4
106,381,257,Mates,2,NA
89,381,258,Mates,2,2
10,381,259,Mates,2,NA
41,381,260,Mates,2,NA
42,381,261,Mates,2,4
146,381,262,Mates,2,NA
77,381,263,Mates,2,NA
54,381,264,Mates,2,NA
61,381,265,Mates,2,4
88,381,266,Mates,2,NA
134,381,267,Mates,2,2
156,381,268,Mates,2,2
12,381,269,Mates,2,2
37,381,270,Mates,2,4
114,381,271,Mates,2,NA
70,381,272,Mates,2,NA
159,381,273,Mates,2,2
43,381,274,Mates,3,2
73,381,275,Mates,2,NA
121,381,276,Mates,2,NA
99,381,277,Mates,2,1
106,713,278,Non-mates,1,2
8,713,279,Non-mates,1,2
164,713,280,Non-mates,1,1
95,713,281,Non-mates,1,NA
77,713,282,Non-mates,1,NA
150,713,283,Non-mates,1,2
169,713,284,Non-mates,1,NA
55,713,285,Non-mates,1,2
80,713,286,Non-mates,1,NA
101,713,287,Non-mates,1,2
57,713,288,Non-mates,1,2
127,713,289,Non-mates,1,2
58,713,290,Non-mates,1,2
83,713,291,Non-mates,1,NA
61,713,292,Non-mates,1,2
30,713,293,Non-mates,1,1
65,713,294,Non-mates,1,2
138,713,295,Non-mates,1,2
68,713,296,Non-mates,1,1
70,713,297,Non-mates,1,2
161,713,298,Non-mates,1,NA
43,713,299,Non-mates,1,2
16,713,300,Non-mates,1,1
22,713,301,Non-mates,1,1
149,713,302,Non-mates,1,1
84,715,303,Non-mates,NA,NA
130,715,304,Non-mates,1,NA
106,715,305,Non-mates,1,4
39,715,306,Non-mates,2,NA
164,715,307,Non-mates,1,4
27,715,308,Non-mates,1,2
103,715,309,Non-mates,1,4
29,715,310,Non-mates,1,NA
155,715,311,Non-mates,2,4
111,715,312,Non-mates,1,4
137,715,313,Non-mates,1,4
115,715,314,Non-mates,2,5
141,715,315,Non-mates,1,NA
75,715,316,Non-mates,1,4
