exID,pairID,responseID,ground_truth,response3,response5
12,27,319,Nonmated,2,3
12,36,320,Mated,3,5
12,13,321,Nonmated,2,3
12,35,322,Nonmated,1,1
12,34,323,Mated,2,3
12,3,324,Nonmated,2,3
12,7,325,Nonmated,2,3
12,56,326,Mated,2,3
12,40,327,Mated,2,3
12,47,328,Nonmated,2,3
16,53,329,Nonmated,2,2
16,54,330,Mated,3,5
16,21,331,Nonmated,1,1
16,42,332,Mated,3,5
12,38,333,Mated,2,3
16,52,334,Mated,3,5
12,25,335,Nonmated,2,3
16,39,336,Nonmated,2,3
12,24,337,Mated,2,3
12,55,338,Nonmated,1,1
16,46,339,Mated,2,4
16,9,340,Nonmated,2,3
16,60,341,Mated,3,5
16,45,342,Nonmated,2,3
16,31,343,Nonmated,2,3
16,16,344,Mated,3,5
16,48,345,Mated,2,4
16,34,346,Mated,3,5
16,50,347,Mated,2,3
16,55,348,Nonmated,1,1
16,43,349,Nonmated,1,1
16,29,350,Nonmated,1,1
16,12,351,Mated,2,3
16,28,352,Mated,3,5
16,33,353,Nonmated,2,3
27,38,354,Mated,2,2
27,41,355,Nonmated,2,2
27,18,356,Mated,3,5
27,16,357,Mated,3,5
27,29,358,Nonmated,1,1
27,34,359,Mated,2,3
27,11,360,Nonmated,1,1
27,28,361,Mated,2,4
27,40,362,Mated,2,4
27,50,363,Mated,2,3
27,12,364,Mated,3,5
27,22,365,Mated,2,3
20,34,366,Mated,3,5
27,46,367,Mated,3,5
20,27,368,Nonmated,2,3
27,30,369,Mated,3,5
20,52,370,Mated,3,5
27,6,371,Mated,2,3
20,9,372,Nonmated,2,3
27,32,373,Mated,3,5
20,37,374,Nonmated,2,3
2,1,375,Nonmated,2,4
1,41,376,Nonmated,1,1
1,10,377,Mated,1,1
1,48,378,Mated,2,3
1,28,379,Mated,2,3
20,13,380,Nonmated,2,3
20,17,381,Nonmated,2,3
20,6,382,Mated,2,3
20,49,383,Nonmated,2,3
19,7,384,Nonmated,1,1
19,52,385,Mated,3,5
19,40,386,Mated,2,4
18,48,387,Mated,2,4
18,7,388,Nonmated,1,1
18,27,389,Nonmated,1,1
18,33,390,Nonmated,2,3
12,32,391,Mated,3,5
12,15,392,Nonmated,2,3
12,49,393,Nonmated,2,3
12,58,394,Mated,3,5
12,54,395,Mated,3,5
12,29,396,Nonmated,1,1
12,17,397,Nonmated,2,3
12,6,398,Mated,2,3
12,31,399,Nonmated,2,3
12,21,400,Nonmated,2,3
12,14,401,Mated,3,5
12,45,402,Nonmated,2,3
12,10,403,Mated,2,3
12,19,404,Nonmated,2,3
12,2,405,Mated,2,3
12,33,406,Nonmated,2,3
12,39,407,Nonmated,2,3
12,30,408,Mated,3,5
30,17,409,Nonmated,2,3
30,7,410,Nonmated,2,3
30,26,411,Mated,2,3
30,60,412,Mated,2,4
19,31,413,Nonmated,1,1
19,30,414,Mated,3,5
19,50,415,Mated,2,3
19,43,416,Nonmated,1,1
19,45,417,Nonmated,2,3
30,1,418,Nonmated,1,1
30,44,419,Mated,2,3
30,23,420,Nonmated,2,4
30,3,421,Nonmated,1,1
30,52,422,Mated,2,3
30,12,423,Mated,1,1
30,55,424,Nonmated,1,1
30,37,425,Nonmated,2,2
30,39,426,Nonmated,2,3
30,14,427,Mated,1,1
30,25,428,Nonmated,2,2
30,32,429,Mated,1,1
30,58,430,Mated,1,1
30,34,431,Mated,1,1
30,11,432,Nonmated,1,1
30,4,433,Mated,1,1
30,53,434,Nonmated,1,1
30,2,435,Mated,1,1
30,21,436,Nonmated,1,1
30,43,437,Nonmated,1,1
30,5,438,Nonmated,1,1
26,11,439,Nonmated,1,1
26,44,440,Mated,2,3
26,35,441,Nonmated,1,1
26,42,442,Mated,3,5
26,25,443,Nonmated,2,3
26,20,444,Mated,3,5
26,31,445,Nonmated,2,3
26,48,446,Mated,2,3
26,58,447,Mated,3,5
26,2,448,Mated,2,3
26,51,449,Nonmated,2,2
26,3,450,Nonmated,2,2
26,52,451,Mated,2,3
26,56,452,Mated,2,3
26,59,453,Nonmated,2,3
26,49,454,Nonmated,2,3
26,40,455,Mated,2,4
26,45,456,Nonmated,2,3
30,13,457,Nonmated,2,3
30,38,458,Mated,1,1
26,6,459,Mated,2,3
26,53,460,Nonmated,2,3
26,55,461,Nonmated,1,1
30,18,462,Mated,3,5
26,23,463,Nonmated,2,3
30,54,464,Mated,2,3
26,21,465,Nonmated,2,3
26,24,466,Mated,2,3
26,22,467,Mated,2,3
30,35,468,Nonmated,1,1
26,29,469,Nonmated,2,2
26,36,470,Mated,3,5
26,9,471,Nonmated,2,3
26,43,472,Nonmated,1,1
30,29,473,Nonmated,1,1
26,30,474,Mated,3,5
30,59,475,Nonmated,1,1
26,46,476,Mated,2,4
26,60,477,Mated,2,3
26,7,478,Nonmated,2,2
30,49,479,Nonmated,1,1
26,4,480,Mated,3,5
26,54,481,Mated,3,5
30,16,482,Mated,1,1
26,41,483,Nonmated,2,3
30,56,484,Mated,2,3
26,8,485,Mated,3,5
30,45,486,Nonmated,1,1
26,12,487,Mated,2,3
26,26,488,Mated,2,3
30,10,489,Mated,1,1
26,32,490,Mated,2,3
26,16,491,Mated,2,3
26,15,492,Nonmated,2,3
26,18,493,Mated,3,5
26,13,494,Nonmated,2,3
26,33,495,Nonmated,2,3
26,19,496,Nonmated,2,3
26,39,497,Nonmated,2,3
30,42,498,Mated,1,1
26,38,499,Mated,2,3
26,37,500,Nonmated,2,3
30,28,501,Mated,2,3
26,1,502,Nonmated,1,1
30,51,503,Nonmated,1,1
30,19,504,Nonmated,2,3
30,27,505,Nonmated,2,3
26,10,506,Mated,2,3
26,27,507,Nonmated,2,3
26,28,508,Mated,3,5
30,8,509,Mated,2,2
26,47,510,Nonmated,1,1
30,57,511,Nonmated,1,1
26,5,512,Nonmated,2,3
30,41,513,Nonmated,2,3
26,14,514,Mated,2,4
19,58,515,Mated,3,5
26,57,516,Nonmated,1,1
26,17,517,Nonmated,2,2
19,9,518,Nonmated,2,3
26,34,519,Mated,3,5
26,50,520,Mated,2,4
19,59,521,Nonmated,1,1
19,47,522,Nonmated,2,3
19,49,523,Nonmated,1,1
30,47,524,Nonmated,2,3
30,50,525,Mated,2,3
19,21,526,Nonmated,1,1
30,20,527,Mated,3,5
30,40,528,Mated,2,4
30,15,529,Nonmated,2,3
30,6,530,Mated,2,3
30,46,531,Mated,1,1
30,9,532,Nonmated,1,1
30,33,533,Nonmated,2,3
30,31,534,Nonmated,2,3
30,22,535,Mated,2,3
30,24,536,Mated,2,3
30,48,537,Mated,1,1
30,30,538,Mated,3,5
31,47,539,Nonmated,2,3
31,12,540,Mated,2,4
31,34,541,Mated,2,3
31,5,542,Nonmated,2,3
31,51,543,Nonmated,1,1
31,2,544,Mated,2,3
31,13,545,Nonmated,2,3
31,50,546,Mated,2,3
31,6,547,Mated,2,3
31,55,548,Nonmated,1,1
31,45,549,Nonmated,2,3
31,31,550,Nonmated,2,3
31,38,551,Mated,2,3
31,37,552,Nonmated,2,2
31,39,553,Nonmated,2,3
31,3,554,Nonmated,2,3
31,25,555,Nonmated,2,3
31,22,556,Mated,2,3
31,19,557,Nonmated,2,3
32,33,558,Nonmated,2,3
32,22,559,Mated,2,3
32,9,560,Nonmated,2,3
32,41,561,Nonmated,2,2
32,30,562,Mated,2,3
32,47,563,Nonmated,2,3
32,16,564,Mated,2,3
32,5,565,Nonmated,1,1
32,35,566,Nonmated,1,1
32,8,567,Mated,3,5
27,5,568,Nonmated,2,3
27,42,569,Mated,3,5
27,10,570,Mated,2,3
27,2,571,Mated,1,1
27,20,572,Mated,3,5
27,1,573,Nonmated,1,1
27,7,574,Nonmated,1,1
27,59,575,Nonmated,1,1
27,26,576,Mated,2,4
27,54,577,Mated,3,5
27,15,578,Nonmated,2,3
27,25,579,Nonmated,1,1
27,39,580,Nonmated,2,3
27,14,581,Mated,1,1
27,48,582,Mated,2,3
27,57,583,Nonmated,1,1
27,35,584,Nonmated,1,1
27,31,585,Nonmated,1,1
18,56,586,Mated,2,3
18,10,587,Mated,2,3
18,21,588,Nonmated,1,1
18,50,589,Mated,1,1
18,39,590,Nonmated,1,1
18,47,591,Nonmated,1,1
18,22,592,Mated,1,1
18,34,593,Mated,3,5
18,11,594,Nonmated,1,1
19,11,595,Nonmated,1,1
19,60,596,Mated,2,3
18,5,597,Nonmated,1,1
18,30,598,Mated,3,5
19,6,599,Mated,3,5
19,4,600,Mated,3,5
18,25,601,Nonmated,1,1
21,51,602,Nonmated,1,1
21,16,603,Mated,3,5
21,44,604,Mated,2,3
21,5,605,Nonmated,1,1
21,47,606,Nonmated,2,2
21,25,607,Nonmated,1,1
19,29,608,Nonmated,1,1
19,24,609,Mated,2,3
19,35,610,Nonmated,1,1
19,41,611,Nonmated,1,1
19,26,612,Mated,2,3
19,10,613,Mated,2,2
19,44,614,Mated,2,3
19,25,615,Nonmated,1,1
19,48,616,Mated,2,3
34,54,617,Mated,3,5
34,45,618,Nonmated,2,3
34,50,619,Mated,2,4
34,9,620,Nonmated,1,1
34,22,621,Mated,2,3
34,27,622,Nonmated,2,3
33,40,623,Mated,2,4
33,50,624,Mated,2,3
27,44,625,Mated,2,3
19,2,626,Mated,2,3
19,22,627,Mated,2,3
19,56,628,Mated,2,3
32,18,629,Mated,3,5
32,43,630,Nonmated,1,1
19,42,631,Mated,3,5
32,34,632,Mated,2,3
32,38,633,Mated,2,3
19,38,634,Mated,2,3
32,37,635,Nonmated,2,3
32,50,636,Mated,2,3
32,27,637,Nonmated,2,3
32,45,638,Nonmated,2,3
32,48,639,Mated,2,3
32,29,640,Nonmated,1,1
19,14,641,Mated,3,5
33,4,642,Mated,3,5
33,1,643,Nonmated,2,2
33,26,644,Mated,2,3
33,46,645,Mated,2,3
33,6,646,Mated,3,5
16,44,647,Mated,2,4
16,13,648,Nonmated,2,2
16,17,649,Nonmated,1,1
16,47,650,Nonmated,2,3
33,49,651,Nonmated,2,3
16,30,652,Mated,3,5
16,6,653,Mated,2,3
29,55,654,Nonmated,1,1
16,22,655,Mated,2,3
16,27,656,Nonmated,2,3
16,19,657,Nonmated,2,3
16,23,658,Nonmated,1,1
16,40,659,Mated,3,5
16,11,660,Nonmated,1,1
24,17,661,Nonmated,1,1
24,41,662,Nonmated,2,3
